x,y,Z
2641.75485,-4.519400353,0
2626.410935,-201.4329806,0
2582.936508,-324.1843034,0
2437.169312,-515.9832451,0
2283.730159,-651.521164,0
2163.536155,-712.8968254,0
2097.045855,-784.5017637,0
2068.915344,-728.2407407,0
2045.899471,-631.0626102,0
1992.195767,-538.9991182,0
1989.638448,-480.180776,0
1907.804233,-429.0343915,0
1866.887125,-411.133157,0
1843.871252,-316.5123457,0
1884.78836,-237.2354497,0
1910.361552,-145.1719577,0
1897.574956,5.709876543,0
11.55202822,-666.2257496,40
170.1058201,-722.4867725,40
175.2204586,-835.0088183,40
272.3985891,-927.0723104,40
405.3791887,-1116.313933,40
512.7865961,-1331.128748,40
558.8183422,-1551.058201,40
523.015873,-1837.477954,40
466.7548501,-1960.229277,40
430.952381,-2103.439153,40
471.8694885,-2134.126984,40
523.015873,-2123.897707,40
558.8183422,-2006.261023,40
748.0599647,-1909.082892,40
942.4162257,-1684.038801,40
988.4479718,-1535.714286,40
1039.594356,-1525.485009,40
1060.05291,-1627.777778,40
1131.657848,-1796.560847,40
1254.409171,-1955.114638,40
1464.109347,-2118.783069,40
1464.109347,-2205.731922,40
1581.746032,-2251.763668,40
1709.611993,-2118.783069,40
1781.216931,-1934.656085,40
1724.955908,-1806.790123,40
1745.414462,-1694.268078,40
1970.458554,-1914.197531,40
2088.095238,-2093.209877,40
2256.878307,-2185.273369,40
2369.400353,-2548.412698,40
2446.119929,-2625.132275,40
2568.871252,-2568.871252,40
2676.27866,-2487.037037,40
2763.227513,-2343.82716,40
2814.373898,-2226.190476,40
2921.781305,-2185.273369,40
3008.730159,-2221.075838,40
3049.647266,-2190.388007,40
3054.761905,-1868.165785,40
3013.844797,-1581.746032,40
2875.749559,-1336.243386,40
2788.800705,-998.6772487,40
2650.705467,-819.664903,40
2625.132275,-676.4550265,40
2640.47619,-563.9329806,40
2722.310406,-512.7865961,40
2773.45679,-466.7548501,40
2722.310406,-344.0035273,40
2718.474427,-129.8280423,40
2754.276896,13.38183422,40
-3.668234767,-1336.777554,200
59.05577957,-1386.060708,200
108.3389337,-1359.178987,200
139.7009409,-1381.580421,200
193.4643817,-1524.949597,200
193.4643817,-1708.641353,200
148.6615143,-1964.017697,200
72.49663978,-2125.30802,200
45.61491935,-2317.960349,200
63.53606631,-2515.092966,200
50.09520609,-2586.777554,200
81.45721326,-2671.903002,200
90.41778674,-2833.193324,200
59.05577957,-2945.200493,200
157.6220878,-3142.333109,200
269.6292563,-3272.261425,200
292.03069,-2985.523073,200
341.3138441,-2958.641353,200
305.4715502,-2877.996192,200
408.5181452,-2689.824149,200
493.6435932,-2676.383289,200
605.6507616,-2743.58759,200
677.3353495,-2680.863575,200
722.1382168,-2622.619848,200
731.0987903,-2524.053539,200
905.8299731,-2367.243504,200
990.9554211,-2219.394041,200
1049.199149,-2201.472894,200
1102.96259,-2326.920923,200
1125.364023,-2394.125224,200
1125.364023,-2506.132392,200
1156.72603,-2671.903002,200
1179.127464,-2882.476478,200
1138.804884,-2940.720206,200
1201.528898,-3012.404794,200
1309.05578,-3084.089382,200
1380.740367,-3133.372536,200
1443.464382,-3137.852823,200
1470.346102,-3043.766801,200
1568.91241,-2931.759633,200
1654.037858,-2860.075045,200
1748.12388,-2725.666443,200
1815.328181,-2662.942428,200
1828.769041,-2573.336694,200
1963.177643,-2421.006944,200
2034.862231,-2506.132392,200
2007.980511,-2640.540995,200
2025.901658,-2752.548163,200
2075.184812,-2833.193324,200
2084.145385,-2963.12164,200
2133.428539,-3057.207661,200
2128.948253,-3231.938844,200
2133.428539,-3281.221998,200
2191.672267,-3321.544579,200
2254.396281,-3478.354615,200
2348.482303,-3541.078629,200
2469.450045,-3491.795475,200
2617.299507,-3536.598342,200
2688.984095,-3469.394041,200
2720.346102,-3384.268593,200
2769.629256,-3285.702285,200
2671.062948,-3214.017697,200
2702.424955,-3142.333109,200
2792.03069,-3115.451389,200
2881.636425,-3048.247088,200
2859.234991,-2824.232751,200
2935.399866,-2721.186156,200
3002.604167,-2721.186156,200
3065.328181,-2833.193324,200
3195.256496,-2842.153898,200
3262.460797,-2913.838486,200
3347.586246,-2900.397625,200
3437.19198,-2824.232751,200
3544.718862,-2604.698701,200
3549.199149,-2510.612679,200
3549.199149,-2407.566084,200
3504.396281,-2322.440636,200
3473.034274,-2241.795475,200
3499.915995,-2120.827733,200
3446.152554,-1928.175403,200
3383.428539,-1816.168235,200
3343.105959,-1744.483647,200
3347.586246,-1520.46931,200
3352.066532,-1439.824149,200
3298.303091,-1359.178987,200
3289.342518,-1305.415547,200
3253.500224,-1242.691532,200
3378.948253,-1188.928091,200
3441.672267,-1220.290099,200
3423.75112,-1260.612679,200
3499.915995,-1291.974686,200
3576.080869,-1354.698701,200
3629.84431,-1368.139561,200
3625.364023,-1462.225582,200
3656.72603,-1574.232751,200
3714.969758,-1587.673611,200
3795.614919,-1556.311604,200
3858.338934,-1560.791891,200
3934.503808,-1457.745296,200
3988.267249,-1345.738127,200
6.437389771,-3630.15873,320
93.38624339,-3589.241623,320
216.1375661,-3604.585538,320
282.627866,-3671.075838,320
364.4620811,-3686.419753,320
528.1305115,-3538.095238,320
640.6525573,-3394.885362,320
563.9329806,-3302.821869,320
563.9329806,-3236.33157,320
599.7354497,-3154.497354,320
620.1940035,-2975.485009,320
773.633157,-2919.223986,320
845.2380952,-2806.70194,320
901.4991182,-2729.982363,320
916.8430335,-2673.72134,320
957.7601411,-2683.950617,320
983.3333333,-2750.440917,320
973.1040564,-2832.275132,320
921.957672,-2847.619048,320
906.6137566,-2893.650794,320
896.3844797,-3006.17284,320
998.6772487,-3128.924162,320
1116.313933,-3226.102293,320
1274.867725,-3328.395062,320
1423.19224,-3364.197531,320
1540.828924,-3328.395062,320
1612.433862,-3205.643739,320
1735.185185,-3057.319224,320
1852.821869,-3036.86067,320
1903.968254,-3134.038801,320
1898.853616,-3287.477954,320
1950,-3410.229277,320
2047.178131,-3486.948854,320
2072.751323,-3619.929453,320
2210.846561,-3722.222222,320
2338.712522,-3768.253968,320
2481.922399,-3717.107584,320
2635.361552,-3747.795414,320
2773.45679,-3676.190476,320
2855.291005,-3579.012346,320
2850.176367,-3481.834215,320
2911.552028,-3461.375661,320
3024.074074,-3374.426808,320
2972.92769,-3231.216931,320
3064.991182,-3052.204586,320
3192.857143,-3072.663139,320
3300.26455,-3108.465608,320
3453.703704,-3026.631393,320
3591.798942,-2857.848325,320
3683.862434,-2668.606702,320
3653.174603,-2535.626102,320
3694.091711,-2402.645503,320
3632.716049,-2213.40388,320
3688.977072,-2116.22575,320
3796.38448,-2100.881834,320
4006.084656,-2029.276896,320
