x, y
-11.47110333,-3608.396575
113.0667445,-3553.911267
280.4144775,-3627.855614
350.4670169,-3674.557307
630.6771745,-3394.347149
533.3819809,-3273.701109
568.4082506,-3176.405916
591.7590971,-2962.35649
766.8904456,-2903.979373
914.7791399,-2651.01187
1000.39891,-2686.03814
1000.39891,-2830.035026
938.1299864,-2865.061296
914.7791399,-2970.140105
1089.910488,-3184.189531
1335.094376,-3324.29461
1432.38957,-3347.645456
1518.00934,-3320.402802
1611.412726,-3176.405916
1751.517805,-3028.517221
1879.947461,-3020.733606
1926.649154,-3168.6223
1907.190115,-3262.025686
1961.675423,-3398.238957
2082.321463,-3518.884997
2086.213271,-3623.963806
2343.072582,-3764.068885
2514.312123,-3709.583577
2646.633586,-3744.609846
2852.899397,-3577.262113
2841.223974,-3464.399689
3031.922553,-3367.104495
2961.870014,-3223.107608
3051.381592,-3028.517221
3242.080171,-3067.435299
3292.673672,-3098.569761
3440.562366,-3032.409029
3685.746254,-2674.362716
3635.152753,-2514.798599
3685.746254,-2401.936174
3619.585522,-2195.670364
3697.421677,-2098.37517
3802.500486,-2090.591555
4012.658105,-2004.971784
4000.982681,-3996.604398
7.987935396,-4000.496205
-11.47110333,-3608.396575
